article;produits;etat de stock (en stock 100 ou rupture de stock 0)
2034;Chorba fric 250GR Friga;100
2035;Couscous moyen 1KG;100
2037;Spaghetti 3 Randa 500G;100
2041;Sucre en morceaux;100
2052;SMILE ROUGE CHOCOLAT;100
2053;TUC CLASSIQUE;100
2054;SMILE VERT NOISETTE 190GR;100
2055;BISCUIT STAR 60G;100
2056;TUC POCKET 32G;100
2057;BISCUIT START CEREALS LAIT 250G;100
2058;Bicarbonate de soude 20g;100
2059;MAJOR LAIT 175GR;100
2060;MAJOR FRAISE 175GR;100
2062;MAJOR CARAMEL 175GR;100
2063;MAJOR CHOCOLAT;100
2065;SABLITO CHOCOLAT;100
2066;SABLITO ABRICOT 128G;100
2068;SABLITO TOUT CHOCO 128G;100
2073;TROPICO BOISSON GAZEUSE 0.5 L;100
2083;HAPPY FULL CHENILLE WORMS 70 GR;100
2086;GAUFRETTES LOOPI GOUT CHOCOLAT;100
2087;SMILE CHOCOLAT AU LAIT 190G;100
2090;GAUFRETTE NOISETTE TOM;100
2091;GAUFRETTE TOM 16 VANILLE;100
2095;GAUFRETTE TOM 16 FRAISE;100
2096;GAUFRETTES NOISETTES LINGOT 100G;100
2098;GAUFRETTES FRAISE LINGOT 100G;100
2100;HAPPY FULL FRUITS 70G;100
2102;HAPPY FULL ANNEAUX 70GR;100
2104;BISCUIT PTIT MATIN CACAO PEPITES CHOCOLAT 115G LBM;100
2114;PRINCE CREME VANILLE 60GR;100
2116;BISCUIT PRINCE;100
2117;OXO BLACK 140G SAIDA;100
2118;COOKIES PEPITES DE CHOCOLAT SAIDA;100
2122;CROUSTINA AU LAIT;100
2123;CROUSTINA CACAO VANILLE 100GR;100
2128;BOGA CITRON 1 L;100
2130;SCHWEPPES TONIC 1L;100
2133;BOGA CITRON 50CL;100
2134;JUS OH BERRIES 25CL;100
2135;RAOUA 1.5L;100
2136;APLA 1.5 L;100
2137;BOGA CITRON 1.5L;100
2138;BOGA CIDRE 1.5L;100
2142;OH NECT POIRE TETRA 1L SNBG;100
2145;SAID TRIS NOISETTES;100
2147;GRAIN D OR MIEL 300GR;100
2155;BONBON FOURRE CHAMIA 1 KG PAPILLON;100
2156;BB REGLISSE 1KG;100
2157;SUCETTE MAXI BUM;100
2158;OH BANANE ORANGE PRISMA 25 CL SNBG;100
2161;SABLITO FIGUE 128G;100
2162;BOGA CIDRE 24 CL SFBT;100
2163;CANETTE FANTA 24 CL;100
2173;TROPICO 1L BOISSON;100
2176;TARTE FIGUE SAIDA;100
2178;GAUCHO BROWNIE;100
2179;CAKE PLUM SAIDA;100
2183;BREAK VANILLE;100
2185;X-PLOSE TRIPLE CHOCOLAT;100
2189;DONUTS CACAO MOULIN D OR;100
2190;MOON CAKE;100
2194;CREME A TARTINER SAID 180 GR;100
2198;CREME A TARTINER AUX NOISETTES NOUTY 150G;100
2201;PATE A GLACER NOIR 1KG SAID;100
2202;CREME A TARTINER AUX NOISETTES SAID 500G;100
2203;COOKIES AUX PEPITES BLANC 90G LBM;100
2205;BI-CREMES MANDARINE CITRON SAIDA;100
2206;BI-CREMES TOFFEE NOIX DE COCO SAIDA;100
2208;ROCKY GOUT LAIT;100
2210;VIVA CIDRE 24CL;100
2211;G.O.MIEL PRST 35GR CC10/12 NESTLE;100
2213;CRISPONUTS AUX NOISETTES;100
2214;LOVE D'OR MOULIN D'OR;100
2216;OH BERRIES 1L;100
2219;BOISSON AU JUS D ORANGE STIL 1L;100
2220;JUS COCKTAIL STIL 1L;100
2224;BISCUIT CHOCO TOM FRAISE;100
2225;CHOCO TOM CHOCOLAT 35GR;100
2226;CROUSTINA CACAO VANILLE 33GR;100
2230;CROUSTINA CAPPUCCINO PM;100
2231;CROUSTINA CHOCO GM;100
2232;CROUSTINA AU LAIT;100
2233;JUS MANGUE STIL 20CL;100
2234;CROSTATINI FIGUE 60 GR;100
2237;NADHIF HS SDM 300GR;100
2239;CREME A TARTINER NOISETES NOUTY 1KG;100
2241;CANETTE SCHWEPPES TONIC 24 CL;100
2245;FIORI NOUGAT 36GR;100
2246;TIGATO FRAISE 125G;100
2254;MAESTRO 100 GR AMANDE;100
2257;BREAK 4;100
2259;MUFFINS TEKTO CHOC LA MADELEINE VRAC;100
2260;LA MADELEINE ALASKA CHOCO;100
2261;BINTO 150GR CC20 KIF;100
2262;D.CROC CHOCOLAT 110GR;100
2263;KIF D CROC CITRON;100
2264;BISCUIT FOURRE 130G;100
2265;GEL CIRE RAYHANE 15G;100
2266;Chamia La Gazelle nature 350G bo”te;100
2267;Chamia La Gazelle aux amandes 350G bo”te;100
2268;BLEU GILLETTE 3 COMFORT;100
2269;BIC 1 ORANGE;100
2270;JUS COCKTAIL STIL 20CL;100
2272;JUGO KIDS 125ML;100
2273;RINGO POCKET 35GR TOM;100
2274;GAUFRETTE CHOCOLAT SAIDA;100
2275;GAUFRETTE NOISETTE 100G;100
2279;MOUFFINS MIXTE CHOCO VANILLE LA MADELEINE VRAC;100
