CODE_ARTICLE;DESIGNATION;PV_TTC
3879;CAKE ORANGE VANOISE 485GR;5,5
4842;CAKE DYARI;1,5
3878;CAKE CITRON VANOISE 485GR;5,5
3995;BULDAK CREAM CARBONARA;11,5
3343;BUBBLE GUM;2,3
3344;BUBBLE GUM;2,3
2183;BREAK VANILLE;0,8
2286;BREAK CHOCOLAT;0,7
2257;BREAK 4;1,2
4598;BOUNTY X5;15,8
2155;BONBON FOURRE CHAMIA 1 KG PAPILLON;12,5
2057;BISCUIT START CEREALS LAIT 250G;2,5
2055;BISCUIT STAR 60G;1,5
2283;BISCUIT SAIDA 24 PCS;2
3116;BISCUIT SAIDA 12 PCS;1,3
4289;BISCUIT PTIT MATIN SPECULOOS 95G LBM;2,3
2104;BISCUIT PTIT MATIN CACAO PEPITES CHOCOLAT 115G LBM;2,2
3884;BISCUIT PTIT MATIN AUX CEREALES PEPITES 115G LBM;2,3
2596;BISCUIT PTIT MATIN AU CEREALE COMPLET;2,5
4832;BISCUIT PRINCE VANILLE 130G;2
2116;BISCUIT PRINCE;1,5
3552;BISCUIT MINCEUR SANS SUCRE 100G LBM;2,8
4259;BISCUIT MAISON NAZIHA FARINE;5,5
4435;BISCUIT LIBANAIS;6,9
2264;BISCUIT FOURRE 130G;1,8
2224;BISCUIT CHOCO TOM FRAISE;1,8
2600;BISCUIT CHOCO TOM FRAISE;1,8
2599;BISCUIT CHOCO TOM CHOCOLAT;1,8
2524;BISCUIT BUENO CHOCOLAT NOISETTE;4,3
4564;BISCUIT AMADA PIA CHOCOLAT 100 GR;8,3
4781;BISCOTTES MULTI CEREALES MAMA MIA 280G;6,3
4782;BISCOTTES MAMA MIA SANS SEL SANS SUCRES 280G;5,9
4780;BISCOTTES MAMA MIA MULTI CEREALES 280G;6,3
4779;BISCOTTES MAMA MIA BLE COMPLET 280G;5,9
4563;BISCOLATA STIX 40GR SOLEN;5,5
45630;BISCOLATA PIA ORANGE 100 GR;8,3
2261;BINTO 150GR CC20 KIF;1,9
3582;BIG HHMTO;1
2206;BI-CREMES TOFFEE NOIX DE COCO SAIDA;1
2205;BI-CREMES MANDARINE CITRON SAIDA;1
3149;BEST DREAM MSAIIC;1,5
3992;BEBETO PEACH RINGS 18G;2
2156;BB REGLISSE 1KG;12,5
3479;BARRE KINDER T4 20 PCS;5
4554;BABOL GUM;2,3
4562;AMADA STIX CRISPY RICE 34G;5,5
