CODE_ARTICLE;DESIGNATION;PV_TTC
3437;ARIEL PODS ALPINE 20X25.2G;35,5
3300;ARIEL 2 CAPSULES PF;3,9
3088;APPLICATEUR LIQUIDE VILO 80ML NOIR;5,8
3089;APPLICATEUR LIQUIDE VILO 80ML NATUREL;6,9
4056;ANBAR;3,5
3424;AMPOULE ACTIVA 75W;2,5
2388;ALYS LIQ DETEREGENT 1L;7,3
4501;ALYS BOUTEILLE 1L;7,3
2362;AIR FRESH WHITE ROSE;4,5
2371;AIR FRESH TROPICAL;4,5
4880;AIR FRESH RAYHANE 250ML;4,5
4307;AIR FRESH LAMST HARIR;12,5
2369;AIR FRESH FLEURS DE LYS;4,5
3861;AIR FRESH CITRON 200ML;4,5
3982;AIR FRESH ARAYHANE;7,5
4308;AIR FRESH AL FARIS;12,5
3299;1 GOBELET MF;0,2
3366;1 GOBELET GF;0,25
